#Data tag : 19v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
278804:5198,08/13/16 17:20:06,4,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.000911347,0.000747049
278805:5198,08/13/16 17:23:57,274,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.059097474,0.055420117
278808:5198,08/13/16 19:25:19,1791,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.280067796,0.269634152
278820:5199,08/14/16 11:00:51,1517,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.298269702,0.286511293
278822:5199,08/14/16 21:52:47,1627,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.197309521,0.191158370
278873:5205,08/15/16 23:25:45,60,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.011252200,0.002011529
278874:5205,08/15/16 23:51:53,477,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.086949604,0.081773427
278875:5205,08/16/16 03:01:20,833,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.120213984,0.114871994
278923:5206,08/16/16 12:16:32,413,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.102909606,0.098543103
278957:5209,08/16/16 21:31:36,149,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.037726034,0.036164159
278962:5210,08/17/16 01:08:31,341,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.081732525,0.075976998
278963:5210,08/17/16 03:24:57,174,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.038538080,0.037047064
278969:5211,08/17/16 07:16:52,1386,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.295325533,0.282491942
278975:5211,08/17/16 16:23:16,848,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.125667472,0.120000479
278976:5211,08/17/16 21:58:16,20,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.002654952,0.002555233
278986:5213,08/18/16 04:02:59,129,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.033648592,0.031547719
279024:5219,08/18/16 22:31:53,301,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.052215806,0.049595682
279029:5219,08/19/16 02:19:40,260,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.040068452,0.038088365
279071:5222,08/19/16 15:40:07,174,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.023486253,0.022581051
279080:5223,08/19/16 22:42:50,157,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.013232074,0.012772790
279115:5229,08/20/16 22:08:09,407,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.087596123,0.084298418
279116:5229,08/21/16 01:36:03,448,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.094459612,0.090639285
279479:5247,08/25/16 04:33:24,105,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.006264020,0.005926779
279588:5251,08/25/16 21:08:11,1160,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.236866958,0.228517080
279653:5253,08/26/16 14:05:52,181,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.045026377,0.043391597
279654:5253,08/26/16 15:21:58,1245,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.248402863,0.240382934
279656:5253,08/26/16 23:49:40,43,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.006732125,0.005683779
279658:5253,08/27/16 01:35:19,712,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.096052473,0.093394296
279667:5254,08/27/16 09:08:23,966,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.215828643,0.208731642
279681:5256,08/27/16 21:57:02,28,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.007254945,0.006669545
279682:5256,08/27/16 22:11:02,33,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.008599451,0.007775813
279683:5256,08/27/16 22:32:16,26,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.006702403,0.006362365
279684:5256,08/27/16 22:46:58,22,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.005548223,0.005302872
279685:5256,08/27/16 23:07:12,208,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.050022136,0.048417316
279691:5257,08/28/16 03:41:26,43,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.010244719,0.009655604
279694:5257,08/28/16 04:03:09,2235,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.418408537,0.406418024
279715:5258,08/28/16 22:01:34,577,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.133151907,0.127780982
279716:5258,08/29/16 02:17:06,1638,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.262761484,0.255981981
279760:5261,08/29/16 20:21:24,655,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.158633956,0.153501772
279766:5261,08/30/16 01:08:36,1689,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.276274004,0.268330897
279767:5261,08/30/16 12:08:03,776,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.091848620,0.089813166
279794:5264,08/30/16 23:41:02,1024,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.229992964,0.223093492
279823:5265,08/31/16 10:00:39,335,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.084378472,0.081827884
279841:5266,08/31/16 15:23:17,2040,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.392674270,0.380358690
279844:5267,09/01/16 07:21:16,224,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.059213232,0.056587893
279887:5270,09/01/16 23:20:52,316,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.076442158,0.073315951
279931:5274,09/02/16 11:37:39,2934,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.489984368,0.475315526
279966:5275,09/03/16 09:20:25,363,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.096966337,0.093010882
279975:5276,09/03/16 14:45:09,1024,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.248024946,0.239010766
279993:5277,09/04/16 00:23:27,72,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.019261839,0.018075211
279994:5277,09/04/16 00:56:48,47,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.013118973,0.012379775
280013:5277,09/04/16 03:35:47,25,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.005868209,0.005635925
280015:5277,09/04/16 03:55:19,572,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.119699571,0.115192202
280016:5277,09/04/16 07:42:16,149,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.027553953,0.026575519
280017:5277,09/04/16 08:45:47,608,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.100894943,0.097988266
280018:5277,09/04/16 12:47:05,1281,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.163305581,0.159034296
280020:5277,09/04/16 21:15:15,45,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.004786650,0.004613517
280024:5277,09/04/16 21:47:39,427,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.042616592,0.041841049
280187:5279,09/05/16 20:24:23,57,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.014645087,0.013218200
280188:5279,09/05/16 20:50:25,245,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.064181141,0.061560219
280191:5279,09/05/16 22:40:17,897,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.185620697,0.178951487
280194:5279,09/06/16 06:00:49,238,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.037793483,0.036665471
280242:5282,09/06/16 15:43:40,625,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.153836094,0.147690348
280249:5282,09/06/16 19:52:07,1432,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.247137665,0.239160039
280251:5282,09/07/16 05:14:58,371,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.048430108,0.047175676
280327:5287,09/08/16 08:23:13,37,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.009545668,0.008719126
280330:5287,09/08/16 08:46:53,857,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.192892595,0.185776360
280349:5287,09/08/16 14:27:22,620,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.107651106,0.104128534
280363:5287,09/08/16 18:47:24,359,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.051706697,0.050013336
280364:5287,09/08/16 21:09:57,1349,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.160879468,0.155268796
280383:5288,09/09/16 08:41:13,2,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.000544509,0.000248004
280384:5288,09/09/16 08:49:12,33,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.008457591,0.007808693
280385:5288,09/09/16 09:11:36,2012,HLT_QuadJet45_TripleBTagCSV_p087_v4,0.378589591,0.364915780
281613:5331,09/25/16 06:03:32,795,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.011393838,0.009764135
281639:5338,09/26/16 07:45:13,132,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.020216006,0.018977255
281641:5338,09/26/16 09:34:34,319,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.040998948,0.039267577
281693:5339,09/26/16 16:57:00,2191,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.388911115,0.376118399
281707:5340,09/27/16 09:47:29,950,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.223776583,0.214550078
281726:5340,09/27/16 16:14:38,288,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.051084319,0.049352584
281727:5340,09/27/16 18:10:03,1605,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.207896387,0.202020172
281797:5345,09/28/16 12:04:48,2052,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.412644376,0.397836480
281975:5351,09/30/16 03:23:12,215,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.058430529,0.053956631
281976:5351,09/30/16 04:48:03,2166,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.353469652,0.340010061
282033:5352,09/30/16 21:30:43,36,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.008952996,0.008255815
282034:5352,09/30/16 21:48:05,33,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.009332413,0.008631466
282035:5352,09/30/16 22:03:01,40,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.010934043,0.009405334
282037:5352,09/30/16 22:24:14,1861,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.345402686,0.331412952
282092:5355,10/02/16 13:49:37,1784,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.306671234,0.296761528
282708:5391,10/09/16 08:39:30,8,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.002498434,0.002118367
282710:5391,10/09/16 08:49:08,3,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.000877110,0.000346458
282712:5391,10/09/16 09:00:13,60,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.017518234,0.016682537
282730:5393,10/09/16 12:41:53,76,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.022277456,0.020382035
282731:5393,10/09/16 13:13:59,172,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.050284581,0.047479405
282732:5393,10/09/16 14:23:16,69,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.018810708,0.018071782
282733:5393,10/09/16 14:52:26,177,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.044847885,0.043147575
282734:5393,10/09/16 16:03:11,327,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.073118677,0.070460004
282735:5393,10/09/16 18:12:39,1819,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.277331067,0.269529474
282800:5394,10/10/16 14:17:15,377,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.097228792,0.093579665
282807:5394,10/10/16 16:48:03,326,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.074464282,0.070562619
282814:5394,10/10/16 18:58:58,1843,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.284967121,0.276224384
282842:5395,10/11/16 10:34:00,80,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.024493132,0.023509444
282917:5401,10/12/16 01:27:07,74,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.018897093,0.017965019
282918:5401,10/12/16 02:00:22,51,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.013436091,0.012877857
282919:5401,10/12/16 02:23:36,243,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.059354126,0.057230809
282922:5401,10/12/16 05:09:33,131,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.027364406,0.025520575
282923:5401,10/12/16 06:04:20,219,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.042498848,0.040480206
283042:5405,10/12/16 22:38:59,6,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.001601212,0.001419220
283043:5405,10/12/16 22:44:16,517,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.121912995,0.116699469
283049:5406,10/13/16 05:05:17,12,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.003893137,0.003132360
283050:5406,10/13/16 05:13:23,212,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.062034816,0.057939220
283052:5406,10/13/16 06:45:19,111,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.030192633,0.028777008
283059:5406,10/13/16 08:00:56,450,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.102980078,0.098777845
283270:5416,10/14/16 18:39:48,1833,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.394492218,0.381443762
283283:5416,10/15/16 06:37:08,1744,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.202358247,0.197444169
283305:5418,10/15/16 21:41:13,7,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.002150284,0.001390519
283306:5418,10/15/16 21:46:57,289,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.080245548,0.076859027
283307:5418,10/15/16 23:43:44,454,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.104747886,0.100279861
283308:5418,10/16/16 02:46:26,945,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.166548423,0.160330325
283353:5421,10/16/16 19:55:17,743,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.198012480,0.191087631
283358:5421,10/17/16 00:50:19,980,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.181386036,0.172284538
283359:5421,10/17/16 07:15:19,428,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.062279356,0.060804581
283407:5423,10/17/16 21:54:07,33,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.010928019,0.009814026
283408:5423,10/17/16 22:10:43,2344,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.473086560,0.457018851
283416:5423,10/18/16 15:16:09,195,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.022238605,0.021628329
283453:5424,10/18/16 19:07:49,455,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.128643084,0.123278367
283469:5426,10/19/16 01:09:36,1,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.000333933,0.000031237
283478:5427,10/19/16 04:13:19,874,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.218374176,0.210230132
283548:5433,10/19/16 22:58:39,144,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.027351074,0.026451260
283680:5437,10/21/16 03:17:51,81,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.019704505,0.018937476
283681:5437,10/21/16 03:56:07,17,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.004014517,0.003813224
283682:5437,10/21/16 04:08:38,384,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.082551061,0.080063190
283685:5437,10/21/16 06:40:48,314,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.021533450,0.020432303
283820:5439,10/21/16 20:48:18,1482,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.267780170,0.259057765
283830:5439,10/22/16 06:27:24,722,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.105118210,0.102254915
283834:5439,10/22/16 11:11:28,81,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.010257279,0.009009585
283835:5439,10/22/16 11:45:28,111,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.012980169,0.011312989
283865:5441,10/22/16 17:30:09,1177,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.273498408,0.264403139
283876:5442,10/23/16 03:38:50,657,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.170093670,0.163762580
283877:5442,10/23/16 07:59:53,1496,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.253599756,0.245684056
283884:5443,10/23/16 23:44:05,404,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.106663897,0.101925204
283885:5443,10/24/16 02:25:30,1723,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.298906868,0.290452170
283933:5446,10/24/16 18:32:31,145,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.042253313,0.040330644
283934:5446,10/24/16 19:33:15,1258,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.279757027,0.269462782
283946:5448,10/25/16 07:30:41,1377,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.311777626,0.300188317
283964:5448,10/25/16 16:29:30,388,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.060551019,0.058697973
284006:5450,10/26/16 01:53:26,318,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.059728267,0.057690297
284014:5450,10/26/16 03:59:16,266,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.049125751,0.047826033
284025:5451,10/26/16 08:56:43,48,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.012617985,0.012192595
284029:5451,10/26/16 09:19:00,112,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.031774694,0.029940883
284035:5451,10/26/16 10:04:52,360,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.090600430,0.087614552
284036:5451,10/26/16 12:28:09,346,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.074789602,0.071719298
284037:5451,10/26/16 14:48:03,340,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.064361638,0.062387614
284038:5451,10/26/16 17:02:16,55,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.009705896,0.009103984
284039:5451,10/26/16 17:27:02,30,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.005198005,0.004797112
284040:5451,10/26/16 17:42:18,33,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.005652544,0.005446855
284041:5451,10/26/16 17:59:11,44,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.007222186,0.006812088
284042:5451,10/26/16 18:23:53,129,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.020592253,0.019699817
284043:5451,10/26/16 19:17:23,220,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.032452211,0.031711873
284044:5451,10/26/16 20:46:05,30,HLT_QuadJet45_TripleBTagCSV_p087_v6,0.004372172,0.004286645
#Summary:
#hltpath,nfill,nrun,ncms,totdelivered(/fb),totrecorded(/fb)
#HLT_QuadJet45_TripleBTagCSV_p087_v1,23,65,29176,2.811097866,2.696962891
#HLT_QuadJet45_TripleBTagCSV_p087_v2,19,72,38302,5.431501600,5.211190881
#HLT_QuadJet45_TripleBTagCSV_p087_v3,29,77,62598,10.126028066,9.693462857
#HLT_QuadJet45_TripleBTagCSV_p087_v4,41,92,54253,10.042607529,9.626979991
#HLT_QuadJet45_TripleBTagCSV_p087_v6,32,86,47447,8.985408549,8.650628380
#
#Sum delivered  : 37.396643610
#Sum recorded : 35.879225000
#Check JSON:
#(run,ls) in json but not in results: []
